Dia,Feriado
2015-01-01,Ano Novo
2015-01-25,Aniversário da Cidade
2015-02-16,Carnaval
2015-02-17,Carnaval
2015-02-18,Carnaval
2015-04-03,Sexta-Feira Santa
2015-04-03,Sexta-feira Santa
2015-04-21,Dia de Tiradentes
2015-05-01,Dia do Trabalho
2015-06-04,Corpus Christi
2015-07-09,Revolução Constitucionalista
2015-09-07,Independência do Brasil
2015-10-12,Nossa Senhora Aparecida
2015-10-15,Dia do Professor
2015-10-28,Dia do Servidor Público
2015-11-02,Dia de Finados
2015-11-02,Finados
2015-11-15,Proclamação da República
2015-11-20,Dia da Consciência Negra
2015-12-25,Natal